icao24,callsign,origin_country,longitude,latitude,baro_altitude,velocity,heading,vertical_rate,geo_altitude,speed_diff,alt_diff,movement
a455c7,FFT4766 ,United States,-104.9137,39.35,4160.52,146.7,57.31,-3.9,4229.1,-72.84,-5280.66,1
a455ec,N379HC  ,United States,-85.7243,36.4027,8229.6,173.99,36.46,0.0,8473.44,27.29000000000002,4244.34,1
a4566a,NDU379  ,United States,-111.7421,32.9682,601.98,33.6,244.61,-2.28,586.74,-140.39000000000001,-7886.700000000001,1
a456a9,EJA379  ,United States,-84.4019,38.1931,12496.8,233.48,84.82,-0.33,12687.3,199.88,12100.56,1
a45a24,N38NG   ,United States,-77.3508,38.9376,1097.28,148.73,1.59,0.0,1158.24,-84.75,-11529.06,1
a45b5d,N380AU  ,United States,-85.4396,32.612,0.0,2.57,42.19,0.0,0.0,-146.16,-1158.24,0
a45ba2,DAL460  ,United States,-84.4315,33.6416,0.0,0.0,250.31,0.0,0.0,-2.57,0.0,0
a45e47,N38040  ,United States,-106.3265,31.8183,3147.06,68.03,273.47,-0.33,3253.74,68.03,3253.74,1
a45e92,N38065  ,United States,-120.6737,35.2805,792.48,53.68,341.57,9.43,822.96,-14.350000000000001,-2430.7799999999997,1
a45f59,DAL1147 ,United States,-85.716,34.9394,9608.82,246.58,141.86,-14.96,9936.48,192.9,9113.52,1
a45f76,N381ES  ,United States,-80.6109,26.1396,129.54,62.76,280.39,-7.8,167.64,-183.82000000000002,-9768.84,1
a45f8e,FFT4731 ,United States,-73.7841,40.6496,0.0,0.0,106.88,0.0,0.0,-62.76,-167.64,0
a45f94,LXJ381  ,United States,-118.4885,34.2041,0.0,3.86,351.56,0.0,0.0,3.86,0.0,0
a46274,N3818C  ,United States,-79.8827,32.7295,792.48,72.17,273.68,0.0,891.54,68.31,891.54,1
a46304,DAL1809 ,United States,-65.6259,18.3581,5669.28,221.9,138.29,-13.33,5958.84,149.73000000000002,5067.3,1
a46310,DAL706  ,United States,-92.6357,35.7962,9753.6,207.8,291.04,0.0,10073.64,-14.099999999999994,4114.799999999999,1
a465df,UAL1998 ,United States,-110.421,35.6637,10668.0,254.85,40.09,0.33,10888.98,47.04999999999998,815.3400000000001,1
a466d2,DAL1294 ,United States,-82.126,36.1394,10881.36,236.43,182.87,2.28,11155.68,-18.419999999999987,266.7000000000007,1
a468d9,N3830T  ,United States,-94.4076,36.0555,2072.64,80.93,86.36,0.33,2133.6,-155.5,-9022.08,1
a46a72,DAL475  ,United States,-112.3989,40.3519,6416.04,213.14,197.56,11.38,6515.1,132.20999999999998,4381.5,1
a46c9a,UAL1821 ,United States,-95.0655,30.323,3253.74,174.36,33.69,5.53,3421.38,-38.77999999999997,-3093.7200000000003,1
